serialanon,gorehs,hhcomp1,hhsizex,ndepchild,agehrp4x,agehrp6x,emphrpx,ethhrp2x,sexhrp,nbedsx,accomhh1,lenresb,ftbuyer,tenure4,mortwkx,rentwkx,amthbenx,housbenx,HYEARGRx,hhvulx
18190000002,4,7,1,0,3,5,2,1,2,3,2,7,3,2,-9.00,86.77,0.00,2,6760.00,2
18190000005,10,7,1,0,3,4,1,1,2,2,3,6,2,1,80.77,-9.00,-9.00,-9,41175.00,2
18190000006,1,1,2,0,4,6,3,1,1,4,3,8,3,2,-9.00,107.00,0.00,2,13336.00,2
18190000008,10,1,4,1,3,4,2,1,2,4,1,5,2,1,570.62,-9.00,-9.00,-9,54317.53,2
18190000012,5,1,2,0,3,5,1,1,1,3,3,8,1,1,0.00,-9.00,-9.00,-9,46602.50,2
18190000013,1,1,2,0,4,6,3,1,1,3,3,8,1,1,0.00,-9.00,-9.00,-9,16601.00,1
18190000017,9,1,2,0,4,6,3,1,1,3,2,8,2,1,0.00,-9.00,-9.00,-9,27461.50,2
18190000020,6,1,2,0,3,5,2,1,2,4,1,6,2,1,0.00,-9.00,-9.00,-9,41012.50,2
18190000023,2,3,3,2,2,3,1,1,2,3,2,4,3,3,-9.00,109.62,0.00,2,42283.80,2
18190000025,4,6,1,0,2,3,1,1,1,1,4,3,3,3,-9.00,92.31,0.00,2,16120.00,2
18190000026,5,7,1,0,1,2,6,1,2,1,5,4,3,2,-9.00,65.00,65.00,1,6552.00,1
18190000027,6,7,1,0,3,4,1,1,2,3,3,4,3,3,-9.00,127.25,67.50,1,6760.00,1
18190000028,10,7,1,0,4,6,3,1,2,1,4,5,3,2,-9.00,138.46,126.92,1,10348.00,1
18190000029,6,7,1,0,3,5,2,1,2,2,5,5,1,1,0.00,-9.00,-9.00,-9,14820.00,2
18190000032,2,6,1,0,4,6,3,1,1,2,4,6,3,2,-9.00,81.00,81.00,1,16171.00,1
18190000033,9,1,2,0,1,2,1,1,1,2,4,2,1,1,150.46,-9.00,-9.00,-9,61775.00,2
18190000037,4,1,3,1,2,3,1,1,1,3,2,5,1,1,103.15,-9.00,-9.00,-9,25813.90,2
18190000038,7,1,2,0,2,3,1,1,1,2,3,4,2,1,92.31,-9.00,-9.00,-9,33280.00,2
18190000040,7,3,3,1,3,4,1,1,2,3,1,5,2,1,148.38,-9.00,-9.00,-9,43772.20,1
18190000042,7,1,4,1,3,5,1,1,2,3,1,6,2,1,166.15,-9.00,-9.00,-9,45500.00,2
18190000043,2,1,3,1,3,5,1,1,2,3,2,3,2,1,0.00,-9.00,-9.00,-9,43148.90,2
18190000045,4,1,2,0,4,6,3,1,1,2,1,8,2,1,0.00,-9.00,-9.00,-9,18387.00,2
18190000046,8,1,4,2,2,3,1,1,1,5,1,3,2,1,0.00,-9.00,-9.00,-9,100000.00,2
18190000049,5,5,2,0,3,5,2,1,2,3,1,7,2,1,0.00,-9.00,-9.00,-9,21228.71,2
18190000050,2,1,2,0,3,4,6,1,2,4,1,2,2,1,284.75,-9.00,-9.00,-9,44575.00,2
18190000053,2,3,2,0,4,6,3,1,2,3,3,8,2,1,0.00,-9.00,-9.00,-9,28237.50,2
18190000054,4,7,1,0,4,6,3,1,2,1,2,4,3,2,-9.00,152.08,69.00,1,12227.28,1
18190000056,7,1,4,2,2,3,1,1,1,4,1,1,3,3,-9.00,461.54,0.00,2,38488.80,2
18190000061,6,1,2,0,4,6,3,1,1,5,1,6,1,1,276.92,-9.00,-9.00,-9,71650.00,1
18190000066,5,1,2,0,4,6,3,1,2,3,1,5,2,1,0.00,-9.00,-9.00,-9,12938.00,1
18190000067,8,7,1,0,4,6,3,1,2,3,2,8,3,2,-9.00,120.00,0.00,2,8840.00,2
18190000068,9,1,2,0,4,6,3,1,1,5,1,7,2,1,0.00,-9.00,-9.00,-9,100000.00,2
18190000069,9,7,1,0,3,4,1,1,2,1,4,4,3,3,-9.00,265.38,0.00,2,43875.00,2
18190000071,9,1,6,4,1,2,6,1,2,3,2,2,3,2,-9.00,146.00,96.00,1,36324.60,1
18190000073,5,1,2,0,4,6,3,1,1,2,1,6,2,1,0.00,-9.00,-9.00,-9,46992.50,1
18190000075,9,7,1,0,2,3,1,2,2,1,4,4,1,1,126.92,-9.00,-9.00,-9,35100.00,2
18190000078,4,1,2,0,3,4,1,1,1,2,3,7,1,1,0.00,-9.00,-9.00,-9,22100.00,2
18190000081,4,1,2,0,3,4,1,1,2,2,3,4,3,3,-9.00,121.15,0.00,2,47580.00,2
18190000083,6,6,1,0,2,3,1,1,1,2,3,2,3,3,-9.00,138.80,0.00,2,19874.10,2
18190000085,1,6,1,0,4,6,3,1,1,3,2,8,1,1,0.00,-9.00,-9.00,-9,29442.50,2
18190000090,2,1,3,0,4,6,3,1,1,2,3,8,1,1,0.00,-9.00,-9.00,-9,18080.00,2
18190000091,10,1,5,3,1,2,2,1,2,3,2,4,3,2,-9.00,129.00,129.00,1,18309.20,1
18190000092,5,7,1,0,4,6,3,1,2,1,3,6,3,2,-9.00,73.00,73.00,1,15119.00,1
18190000093,9,1,3,1,2,2,1,1,1,3,2,2,3,3,-9.00,138.46,4.62,1,24418.45,1
18190000095,6,5,2,0,2,3,1,1,2,4,1,6,2,1,140.77,-9.00,-9.00,-9,35566.25,2
18190000097,5,3,2,1,3,4,1,1,2,2,3,6,2,1,69.23,49.15,0.00,2,18236.40,1
18190000098,9,1,2,0,1,2,1,1,1,2,3,1,3,3,-9.00,206.54,0.00,2,39335.00,2
18190000101,9,1,3,0,4,6,3,1,1,3,2,8,2,1,0.00,-9.00,-9.00,-9,42480.00,2
18190000103,4,6,1,0,2,2,2,1,1,2,4,4,3,2,-9.00,93.23,0.00,2,13281.25,2
18190000109,6,7,1,0,4,6,3,1,2,2,3,3,2,1,0.00,-9.00,-9.00,-9,8476.00,1
18190000110,4,7,1,0,3,4,1,1,2,1,5,4,3,3,-9.00,114.23,0.00,2,15155.00,2
18190000113,4,1,2,0,2,3,1,1,1,4,2,5,3,3,-9.00,0.00,0.00,2,68795.00,2
18190000114,9,1,2,0,3,4,1,1,1,1,4,5,3,2,-9.00,77.77,0.00,2,24972.00,1
18190000115,5,6,1,0,2,2,1,1,1,2,3,4,1,1,71.08,-9.00,-9.00,-9,22100.00,2
18190000119,2,1,2,0,4,6,3,1,1,5,1,6,2,1,0.00,-9.00,-9.00,-9,47525.50,2
18190000120,2,3,2,1,3,4,1,1,2,3,3,6,1,1,57.69,-9.00,-9.00,-9,26151.40,2
18190000123,5,1,2,0,4,6,3,1,2,4,1,8,2,1,0.00,-9.00,-9.00,-9,16055.00,2
18190000124,5,7,1,0,4,6,3,1,2,2,1,6,2,1,0.00,-9.00,-9.00,-9,8476.00,1
18190000125,9,3,4,2,2,3,2,1,2,3,3,6,3,2,-9.00,118.22,1.00,1,34272.55,1
18190000127,8,1,2,0,3,5,6,1,1,2,4,6,2,1,0.00,-9.00,-9.00,-9,36950.61,2
18190000129,6,7,1,0,4,6,3,2,2,1,4,6,3,2,-9.00,105.20,69.00,1,9669.00,1
