rowlabel,nadults,sex,age,yrsarea,cartot,quallife,walkdark,unoccl,pubeve,mottheft,motstole,cardamag,yrhotry,yrhostol,yrdeface,persthef,delibdam,delibvio,threviol2,sexattak,polatt1,polatt2,polatt3,polatt5,polatt6,polatt7,genhealt,cry2,relig3,tenure1,hominsur,persinc,inner,rural3,rubbcomm,vandcomm,accharm1,livharm1a,tenharm,struct3,agegrp7,ethgrp2a,illONS,educat3,remploya,h10sec6a,club3,ratpol3,emdiqu15x,confx
174295080,4,1,20,7,3,1,1,4,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,3,3,1,1,1,5,1,4,0,2,3,4,3,3,3,1,1,1,1,3,1,8,2,0,1,-0.897618308
175024240,3,1,20,7,4,1,1,3,3,2,2,1,2,2,2,2,2,1,2,2,2,3,4,2,2,1,2,1,2,2,1,14,0,2,4,4,1,3,1,1,1,1,1,3,1,1,2,100,2,-0.184390594
175044240,4,1,20,7,1,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,3,1,1,2,2,1,0,2,4,4,3,3,1,4,1,1,1,4,1,4,1,100,4,0.222734364
175516240,2,2,20,7,2,5,3,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,1,1,1,4,1,5,1,2,2,3,3,3,2,1,1,1,1,3,1,1,2,100,1,-0.208943009
175640240,2,1,20,7,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,4,2,15,0,1,3,3,2,3,2,1,1,1,3,4,3,3,1,100,2,1.665469564
175669080,4,1,20,7,4,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,5,1,4,0,2,4,4,1,3,3,1,1,1,1,3,1,1,3,100,5,1.23379219
175868320,2,2,20,7,2,1,1,4,3,2,2,2,2,2,2,2,2,2,2,2,5,2,2,4,4,4,1,1,1,5,1,2,0,1,4,4,2,3,3,2,1,1,1,4,1,1,2,0,4,-1.774460697
175069240,3,1,21,7,3,2,1,6,3,2,2,2,2,2,2,2,2,2,2,2,3,2,5,3,5,4,2,1,1,4,1,5,0,2,3,3,1,3,3,4,1,1,1,4,1,5,1,100,3,-2.017125644
175564160,3,2,21,7,3,6,2,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,4,0,2,3,3,2,3,1,1,1,1,1,1,1,2,2,100,2,0.266492235
175652080,3,2,21,7,3,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,4,2,1,1,2,2,1,2,0,2,3,4,2,3,1,1,1,1,1,3,1,5,1,0,1,-1.083883078
175712240,4,1,21,7,3,5,2,5,4,2,2,2,2,2,2,2,2,1,2,2,4,2,3,2,2,3,1,1,1,2,1,1,0,2,4,4,2,3,1,1,1,1,1,3,1,3,2,0,2,-0.596343557
175736320,2,1,21,7,2,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,5,0,2,4,4,2,3,1,2,1,1,1,4,1,3,1,100,3,0.729823203
176131160,4,1,21,7,3,1,1,5,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,6,1,1,2,0,2,3,3,3,3,1,2,1,3,1,3,1,3,1,100,1,0.972115955
186574160,3,1,21,7,2,3,2,6,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,1,3,0,2,4,4,2,3,1,1,1,1,1,3,1,1,1,100,4,1.190034319
174548080,2,2,22,7,2,4,3,6,5,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,5,1,6,0,2,4,4,1,3,3,1,1,1,1,4,1,1,3,100,2,0.048573871
175667080,3,1,22,7,5,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,3,0,1,4,4,1,3,1,1,1,1,3,3,1,3,1,100,4,1.665469564
186400640,1,1,22,7,2,1,1,6,3,2,1,2,2,2,2,2,2,2,2,2,2,4,4,2,3,4,2,1,2,2,1,12,0,2,3,4,2,3,1,1,1,1,1,1,1,4,1,0,2,-1.41301207
175077240,3,2,23,7,0,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,5,3,5,2,2,5,2,1,1,4,1,2,0,2,3,4,2,3,2,1,1,1,1,2,3,5,1,0,2,-1.983216609
175215080,3,2,23,7,2,6,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,1,1,1,1,1,14,0,2,3,4,2,3,1,4,1,1,1,4,1,1,2,100,5,-0.18335109
175411240,3,1,23,7,2,3,3,4,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,4,4,1,1,6,1,2,8,0,2,3,3,1,3,1,1,1,3,1,4,3,1,1,100,3,-0.227971778
175900160,2,2,23,7,1,1,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,1,1,2,2,1,11,0,2,4,4,2,2,1,1,1,1,1,4,1,1,2,100,5,0.049613375
175932160,3,1,23,7,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,4,3,4,2,1,1,2,1,4,0,2,4,4,1,3,1,1,1,1,1,3,1,4,1,0,5,-1.821160392
186285240,2,2,23,7,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,2,2,0,1,4,4,3,2,2,2,1,1,1,2,1,6,2,100,3,0.266492235
186287160,3,1,23,7,1,6,2,5,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,3,3,4,2,1,1,2,1,4,0,2,3,3,2,3,1,1,1,1,1,2,1,2,2,0,2,-0.881354676
175071080,3,2,24,7,2,3,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,1,4,0,2,3,3,2,3,1,4,1,1,1,2,1,5,1,100,2,1.015873826
175344160,4,1,24,7,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,4,1,2,5,1,2,0,1,4,4,1,3,3,1,1,1,3,1,3,1,1,100,1,0.248326283
175467240,3,2,24,7,3,3,2,6,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,4,4,1,1,1,2,1,3,0,2,4,4,1,3,1,1,1,1,1,4,1,1,2,0,5,-2.010545014
176010240,3,1,24,7,3,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,4,1,2,3,3,2,3,1,1,1,1,1,4,1,2,1,100,3,0.726703351
186371640,4,1,24,7,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,1,1,5,1,4,0,2,4,4,3,3,3,2,1,1,1,4,1,1,2,100,2,-0.394688825
174481080,2,2,25,7,2,4,2,5,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,4,4,4,2,1,1,4,1,9,0,2,4,4,2,2,3,1,2,1,1,4,1,1,1,0,4,-1.792626649
174619160,3,1,25,7,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,3,5,4,1,1,1,5,1,3,0,2,2,3,2,3,2,1,2,1,1,1,3,4,1,0,2,-2.33829064
