SEX,ECONOMIC,NS-SEC,Tenture,Internet,NPH,NAH,NCH,GFR,INCOME,GWHI,TWE
Male,Economically inactive,Not classified for other reasons,Private rented,Yes,1,1,0,Eastern,other source,468,435
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,223,150
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,earnings,1103,341
Female,Part-time working,Routine and manual occupations,Owned,Yes,1,1,0,Eastern,other source,517,553
Male,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,298,258
Female,Economically inactive,"Higher managerial, administrative and professional occupations",Public rented,Yes,1,1,0,Eastern,other source,107,93
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,567,343
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,139,213
Female,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,Eastern,earnings,666,500
Male,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Yes,1,1,0,Eastern,earnings,661,463
Female,Part-time working,Intermediate occupations,Owned,Yes,1,1,0,Eastern,earnings,396,313
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Eastern,other source,206,80
Male,Part-time working,Intermediate occupations,Owned,Yes,1,1,0,Eastern,earnings,860,219
Female,Part-time working,Routine and manual occupations,Public rented,No,1,1,0,Eastern,other source,161,289
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,184,99
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,437,254
Male,Full-time working,Intermediate occupations,Public rented,Yes,1,1,0,Eastern,earnings,242,193
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,159,156
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Eastern,other source,141,113
Female,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,Eastern,earnings,311,408
Male,Full-time working,Intermediate occupations,Private rented,Yes,1,1,0,Eastern,earnings,957,510
Female,Economically inactive,Not classified for other reasons,Private rented,No,1,1,0,Eastern,other source,359,183
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Eastern,other source,228,240
Male,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,No,1,1,0,Eastern,other source,72,84
Female,Part-time working,Routine and manual occupations,Owned,Yes,1,1,0,Eastern,earnings,202,135
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,601,164
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Eastern,other source,152,72
Female,Unemployed and work related Government Training Programmes,Routine and manual occupations,Owned,Yes,1,1,0,Eastern,earnings,133,156
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,129,122
Female,Economically inactive,Not classified for other reasons,Owned,Yes,1,1,0,Eastern,other source,515,871
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,265,222
Female,Full-time working,Intermediate occupations,Owned,Yes,1,1,0,Eastern,earnings,345,210
Female,Unemployed and work related Government Training Programmes,Routine and manual occupations,Public rented,Yes,1,1,0,Eastern,other source,28,85
Male,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,135,161
Female,Economically inactive,Not classified for other reasons,Owned,No,1,1,0,Eastern,other source,227,194
Female,Economically inactive,Not classified for other reasons,Private rented,No,1,1,0,Eastern,other source,317,203
Female,Economically inactive,Not classified for other reasons,Public rented,No,1,1,0,Eastern,other source,175,117
Male,Economically inactive,Not classified for other reasons,Public rented,Yes,1,1,0,Eastern,other source,125,99
